Map,scenarios/animated.cfg
Resolution,(48, 64)
Frame Repeat,8
Learning Rate,0.0001
Discount,0.99
Replay Memory,10000
Batch Size,64
Dropout,0.3
Epochs,25
Training Episodes,200
Testing Episodes,200
Training time,Training min,Training max,Training mean,Training std,Testing time,Testing min,Testing max,Testing mean,Testing std
241.64,-400.0,95.0,-8.005,152.86,49.13,-390.0,95.0,45.61,105.32
97.31,-118.0,95.0,68.77,25.16,29.07,9.0,95.0,75.825,14.90
97.73,-5.0,95.0,69.435,20.01,34.38,-13.0,95.0,69.265,20.76
95.67,-37.0,95.0,70.085,19.62,33.48,-34.0,95.0,71.255,23.33
94.65,-23.0,95.0,70.31,20.92,28.95,-19.0,95.0,75.45,18.00
94.44,-38.0,95.0,70.15,22.17,27.72,14.0,95.0,77.07,12.25
90.11,-3.0,95.0,72.31,19.07,27.81,-89.0,95.0,77.27,15.91
98.54,-57.0,95.0,69.165,23.57,29.00,28.0,95.0,76.325,12.81
96.21,-42.0,95.0,70.125,20.61,27.29,44.0,95.0,76.99,11.27
95.36,-30.0,95.0,70.005,21.14,28.49,14.0,95.0,76.95,11.31
94.33,-11.0,95.0,70.965,17.90,28.83,52.0,95.0,76.545,10.96
92.58,-4.0,95.0,70.77,19.48,28.25,-10.0,95.0,76.895,11.68
93.39,0.0,95.0,71.35,17.40,29.75,-51.0,95.0,75.135,18.00
91.52,-42.0,95.0,72.01,18.47,29.25,39.0,95.0,76.64,12.18
91.63,-51.0,95.0,71.965,19.50,30.51,-15.0,95.0,74.23,16.40
93.57,4.0,95.0,71.33,17.24,27.42,0.0,95.0,76.24,13.11
90.43,-16.0,95.0,71.885,17.70,28.04,44.0,95.0,77.325,10.60
92.46,-7.0,95.0,71.785,15.72,26.90,25.0,95.0,78.37,11.96
96.73,-34.0,95.0,69.75,20.14,30.27,38.0,95.0,75.195,10.70
90.21,-42.0,95.0,72.08,17.47,26.48,52.0,95.0,77.86,10.68
95.42,0.0,95.0,70.425,17.75,27.70,52.0,95.0,77.425,11.15
95.22,13.0,95.0,70.83,17.03,27.42,49.0,95.0,77.945,10.23
100.03,12.0,95.0,68.86,18.09,26.90,49.0,95.0,78.755,10.10
89.51,4.0,95.0,73.31,15.50,26.12,55.0,95.0,78.32,9.82
89.01,-37.0,95.0,71.655,19.86,28.06,28.0,95.0,76.695,12.07
