Map,scenarios/basic.cfg
Resolution,(48, 64)
Frame Repeat,8
Learning Rate,0.0001
Discount,0.99
Replay Memory,10000
Batch Size,64
Dropout,0.3
Epochs,25
Training Episodes,200
Testing Episodes,200
Training time,Training min,Training max,Training mean,Training std,Testing time,Testing min,Testing max,Testing mean,Testing std
253.86,-405.0,95.0,-6.865,146.15,33.55,21.0,95.0,69.92,19.26
105.19,-170.0,95.0,66.93,28.77,27.72,37.0,95.0,76.725,12.33
93.59,-51.0,95.0,70.785,20.29,29.11,9.0,95.0,75.835,14.03
100.29,-45.0,95.0,68.63,23.36,28.16,21.0,95.0,76.25,14.19
92.21,-24.0,95.0,71.53,20.47,27.97,37.0,95.0,77.365,12.07
105.68,-16.0,95.0,67.315,20.14,28.81,37.0,95.0,76.93,12.84
99.64,-63.0,95.0,69.18,21.46,32.38,37.0,95.0,74.365,14.17
100.79,-74.0,95.0,68.775,21.81,29.34,34.0,95.0,76.425,12.54
99.77,-100.0,95.0,68.595,24.81,29.63,-21.0,95.0,74.775,16.84
95.03,-11.0,95.0,70.58,17.43,28.53,44.0,95.0,77.285,11.98
102.04,-43.0,95.0,68.91,23.04,29.11,47.0,95.0,76.645,11.06
97.13,-22.0,95.0,70.325,20.12,27.97,47.0,95.0,77.94,11.21
97.71,-11.0,95.0,70.36,19.99,25.81,47.0,95.0,79.785,10.67
91.35,-21.0,95.0,71.75,21.34,28.56,44.0,95.0,77.275,11.75
87.48,8.0,95.0,73.725,16.79,26.44,44.0,95.0,78.47,10.64
83.32,5.0,95.0,74.99,14.54,27.94,28.0,95.0,77.345,11.62
97.69,-3.0,95.0,70.81,18.52,27.70,47.0,95.0,78.245,10.44
99.17,-45.0,95.0,69.575,22.04,25.96,63.0,95.0,79.125,9.83
106.69,-365.0,95.0,65.54,39.67,26.32,63.0,95.0,79.2,9.55
95.05,-49.0,95.0,71.06,20.74,25.90,21.0,95.0,79.91,10.91
92.74,-37.0,95.0,71.06,20.58,24.76,63.0,95.0,79.64,9.81
89.94,2.0,95.0,72.685,17.91,27.01,28.0,95.0,78.115,11.37
90.67,-14.0,95.0,72.71,16.68,27.50,47.0,95.0,77.6,9.68
86.18,7.0,95.0,74.18,15.85,25.77,63.0,95.0,79.16,9.40
90.65,-3.0,95.0,72.12,17.55,28.16,37.0,95.0,77.91,10.55
