Map,scenarios/monster_caco.cfg
Resolution,(48, 64)
Frame Repeat,8
Learning Rate,0.0001
Discount,0.99
Replay Memory,10000
Batch Size,64
Dropout,0.3
Epochs,25
Training Episodes,200
Testing Episodes,200
Training time,Training min,Training max,Training mean,Training std,Testing time,Testing min,Testing max,Testing mean,Testing std
209.77,-410.0,95.0,13.305,137.17,30.07,8.0,95.0,73.93,15.64
111.65,-124.0,95.0,63.06,33.08,54.69,-370.0,95.0,38.8,119.81
116.92,-360.0,95.0,60.08,44.99,32.48,37.0,95.0,71.38,15.63
106.44,-98.0,95.0,66.16,26.52,32.79,13.0,95.0,72.085,16.90
104.20,-91.0,95.0,66.79,25.52,27.52,37.0,95.0,77.005,11.89
103.25,-65.0,95.0,67.115,23.53,29.75,42.0,95.0,75.355,13.85
97.55,-105.0,95.0,69.465,23.66,30.01,37.0,95.0,75.19,12.61
106.77,-77.0,95.0,65.855,23.03,31.73,34.0,95.0,74.08,14.47
103.55,-45.0,95.0,67.525,24.57,30.51,34.0,95.0,75.175,12.53
96.11,-21.0,95.0,70.12,19.89,31.47,34.0,95.0,74.18,14.22
101.61,-54.0,95.0,68.645,20.79,27.72,34.0,95.0,77.62,12.57
97.85,-48.0,95.0,69.575,21.67,26.05,37.0,95.0,78.23,12.00
99.78,-6.0,95.0,68.745,20.78,27.86,34.0,95.0,77.07,12.02
92.31,-4.0,95.0,71.695,19.60,27.69,37.0,95.0,77.01,12.06
95.69,-310.0,95.0,70.045,34.54,29.22,-5.0,95.0,75.99,14.54
89.80,-40.0,95.0,72.84,19.37,26.49,47.0,95.0,78.885,11.37
97.04,-335.0,95.0,69.21,33.97,27.57,44.0,95.0,78.205,11.79
91.40,-21.0,95.0,72.68,17.96,30.75,29.0,95.0,74.325,16.49
89.23,21.0,95.0,73.24,16.59,28.13,33.0,95.0,77.63,11.95
101.12,-390.0,95.0,67.96,37.89,27.89,1.0,95.0,76.1,15.04
85.99,21.0,95.0,74.13,15.78,26.94,47.0,95.0,78.48,10.25
95.22,-6.0,95.0,70.85,19.85,27.86,37.0,95.0,78.07,11.13
88.74,8.0,95.0,73.4,16.37,28.48,28.0,95.0,77.315,12.71
92.67,-29.0,95.0,71.925,19.30,26.04,47.0,95.0,79.36,10.35
87.95,-48.0,95.0,73.74,17.52,25.67,44.0,95.0,79.585,9.82
