Map,scenarios/flat.cfg
Resolution,(48, 64)
Frame Repeat,8
Learning Rate,0.0001
Discount,0.99
Replay Memory,10000
Batch Size,64
Dropout,0.3
Epochs,25
Training Episodes,200
Testing Episodes,200
Training time,Training min,Training max,Training mean,Training std,Testing time,Testing min,Testing max,Testing mean,Testing std
326.75,-410.0,95.0,28.925,103.13,38.86,-133.0,95.0,66.755,28.88
201.08,-57.0,95.0,64.16,27.41,35.39,-38.0,95.0,70.17,20.35
197.81,-56.0,95.0,65.26,22.90,35.98,-76.0,95.0,70.235,20.61
2011.91,-24.0,95.0,62.485,24.38,37.92,-76.0,95.0,69.675,22.61
186.93,-38.0,95.0,67.44,24.13,35.32,-57.0,95.0,71.12,19.73
214.47,-30.0,95.0,61.98,24.28,34.81,-95.0,95.0,72.08,23.58
196.37,-43.0,95.0,66.21,23.05,37.49,-38.0,95.0,69.28,18.90
201.74,-110.0,95.0,64.555,25.67,34.55,-6.0,95.0,72.525,17.02
209.76,-25.0,95.0,65.715,22.59,34.35,13.0,95.0,73.535,16.79
203.23,-35.0,95.0,67.37,22.66,37.94,-19.0,95.0,69.53,20.68
209.55,-41.0,95.0,65.125,23.66,32.46,32.0,95.0,73.895,16.32
192.17,-4.0,95.0,68.37,20.99,35.68,32.0,95.0,74.025,15.71
202.74,14.0,95.0,68.665,19.10,35.18,24.0,95.0,74.035,16.15
198.40,-18.0,95.0,69.265,20.26,33.87,24.0,95.0,74.045,15.39
194.83,-5.0,95.0,67.425,20.70,34.25,24.0,95.0,73.025,15.45
192.30,-16.0,95.0,67.815,21.01,33.68,32.0,95.0,73.27,15.01
194.43,-19.0,95.0,67.69,20.25,33.98,19.0,95.0,73.49,16.41
177.78,-47.0,95.0,70.685,23.16,33.92,24.0,95.0,73.78,14.71
185.59,-6.0,95.0,69.265,19.35,34.29,24.0,95.0,73.355,16.43
185.31,-13.0,95.0,69.69,19.79,31.06,0.0,95.0,76.66,16.22
190.81,-25.0,95.0,68.355,19.97,34.99,24.0,95.0,72.21,16.23
181.11,-89.0,95.0,69.6,22.87,32.56,19.0,95.0,74.79,15.17
191.49,-32.0,95.0,68.255,20.44,33.52,5.0,95.0,73.16,16.83
188.04,-18.0,95.0,68.295,19.96,33.93,32.0,95.0,73.445,14.68
193.34,-24.0,95.0,67.91,20.97,31.96,32.0,95.0,75.95,14.99
